"Aerobics, low intensity",0.1,1.02
"Aerobics, high intensity",0.15,1.46
"Aerobics, step",0.12,1.23
Badminton,0.11,1.05
Ballet dancing,0.1,0.97
Baseball,0.1,1.05
Basketball,0.1,1.05
"Bicycling, easy (14km/h)",0.1,1.05
"Bicycling, moderage (24km/h)",0.14,1.37
"Bicycling, hard (32km/h)",0.16,1.61
Bowling,0.06,0.57
Boxing,0.18,1.79
Calisthenics,0.09,0.85
Canoeing,0.07,0.73
Cheerleading,0.08,0.8
"Circuit training (squats, lunges, pushups ,burpees etc)",0.16,1.6
"Climbing, indoor/outdoor",0.22,2.17
Croquet,0.06,0.61
CrossFit,0.2,2.01
Dancing,0.09,0.88
Elliptical trainer,0.16,1.63
Fencing,0.15,1.46
Fishing,0.07,0.73
Football/soccer,0.16,1.6
Gardening / yard work,0.06,0.64
Golf (carrying clubs),0.09,0.88
Grocery shopping,0.05,0.54
Gymnastics,0.1,0.97
Handball,0.28,2.8
Hiking / orienteering,0.19,1.87
"Hockey, field & ice",0.19,1.93
Horseback riding,0.07,0.72
Housework,0.06,0.58
Ice-skating,0.07,0.68
In-line skating/Rollerblading,0.15,1.53
"Jumping rope, fast",0.24,2.41
"Jumping rope, moderate",0.2,2.01
Kayaking,0.12,1.22
Kickboxing / MMA,0.23,2.33
Lacrosse,0.19,1.95
Martial Arts,0.19,1.9
Mowing lawn,0.1,0.97
Pilates,0.07,0.73
Punching bag,0.14,1.45
Raking lawn/leaves,0.1,0.97
Racquetball,0.15,1.46
Rowing,0.12,1.18
Rowing machine,0.17,1.71
Rugby,0.24,2.44
"Running, 7min/km",0.14,1.43
"Running, 5.3min/km",0.18,1.79
"Running, 4.2min/km",0.22,2.24
"Sailing, boat & board",0.07,0.73
Shoveling snow,0.12,1.17
Skateboarding,0.08,0.82
"Skiing, light/moderate",0.09,0.88
"Skiing, cross-country",0.09,0.92
Sledding,0.13,1.27
Snowboarding/snowshoeing,0.15,1.46
Snowmobiling,0.09,0.85
Softball,0.12,1.22
Spinning,0.16,1.61
Squash,0.28,2.8
"Stair climbing, machine",0.16,1.61
"Stair climbing, downstairs",0.06,0.57
"Stair climbing, upstairs",0.15,1.46
Surfing,0.07,0.73
"Swimming, butterfly",0.22,2.19
"Swimming, freestyle/breathstroke",0.15,1.46
"Swimming, treading/leasure",0.09,0.93
Table tennis,0.1,0.97
Tae Bo,0.2,2.01
Tai Chi,0.03,0.32
Tennis,0.16,1.61
Trampoline,0.07,0.72
Volleyball,0.07,0.73
"Walking, stroll",0.05,0.49
"Walking, average",0.07,0.68
"Walking, power",0.13,1.26
Washing a car,0.06,0.57
Water aerobics,0.09,0.93
Water polo,0.24,2.44
Water skiing,0.12,1.17
"Weight lifting, light",0.05,0.54
"Weight lifting, heavy",0.14,1.4
Wrestling,0.12,1.17
Yoga,0.04,0.36
